DriverNo,Driver,Race,Year,Stint,Compound,LapsUsed,MeanLap_s,StdLap_s,FastestLap_s
23,ALB,Australian Grand Prix,2025,5,MEDIUM,2,85.862,1.788980156401966,84.597
23,ALB,Austrian Grand Prix,2025,1,MEDIUM,8,71.10024999999999,0.30825070965043866,70.641
23,ALB,Bahrain Grand Prix,2025,1,SOFT,13,99.74276923076923,0.5717059491624096,98.699
23,ALB,Bahrain Grand Prix,2025,2,HARD,13,98.47915384615384,0.575964820417858,97.673
23,ALB,Bahrain Grand Prix,2025,3,MEDIUM,21,98.08776190476192,0.6568735726730004,97.141
23,ALB,Belgian Grand Prix,2025,2,MEDIUM,30,107.3109,0.3878923019744455,106.813
23,ALB,British Grand Prix,2025,3,MEDIUM,8,91.21837500000001,1.652662608165553,90.047
23,ALB,Canadian Grand Prix,2025,1,MEDIUM,18,77.92005555555555,0.5409391041319569,77.275
23,ALB,Canadian Grand Prix,2025,2,HARD,20,76.79440000000001,0.6087699764365239,76.197
23,ALB,Chinese Grand Prix,2025,1,MEDIUM,17,98.93123529411766,0.32878137291590886,98.311
23,ALB,Chinese Grand Prix,2025,2,HARD,34,97.19582352941177,0.6502906329545104,96.254
23,ALB,Emilia Romagna Grand Prix,2025,1,MEDIUM,25,81.95172000000001,0.2695676352977119,81.583
23,ALB,Emilia Romagna Grand Prix,2025,2,HARD,13,80.68900000000001,0.2841815734115555,80.388
23,ALB,Emilia Romagna Grand Prix,2025,3,HARD,9,79.83255555555554,0.9942820413634024,78.289
23,ALB,Hungarian Grand Prix,2025,1,SOFT,11,83.78545454545454,0.34581074698059017,83.314
23,ALB,Hungarian Grand Prix,2025,2,MEDIUM,21,82.99238095238096,0.7253420211314434,81.772
23,ALB,Hungarian Grand Prix,2025,3,HARD,29,81.97765517241379,0.9223436482237616,80.779
23,ALB,Japanese Grand Prix,2025,1,MEDIUM,22,94.28504545454544,0.6262640153187139,93.805
23,ALB,Japanese Grand Prix,2025,2,HARD,27,92.14774074074074,0.742643697185036,91.125
23,ALB,Miami Grand Prix,2025,1,MEDIUM,3,91.26266666666668,0.22744742982353636,91.071
23,ALB,Miami Grand Prix,2025,2,HARD,23,90.96321739130433,0.26606338214823555,90.482
