DriverNo,Driver,Race,Year,NumStintsUsed,MeanLap_s,StdLap_s,FastestLap_s,LapsUsedTotal
4,NOR,Australian Grand Prix,2025,1,87.64750000000001,0.2156675682618918,87.495,2
1,VER,Australian Grand Prix,2025,1,84.935,2.6219519446397173,83.081,2
30,LAW,Australian Grand Prix,2025,1,84.46666666666665,1.7110515285441652,82.97,3
81,PIA,Chinese Grand Prix,2025,2,97.26393333333333,0.4054826680360414,95.52,52
4,NOR,Chinese Grand Prix,2025,2,97.42871794871795,0.5763539818652663,95.454,52
63,RUS,Chinese Grand Prix,2025,2,97.51435833333335,0.5466731817602002,95.816,52
1,VER,Chinese Grand Prix,2025,2,97.80620731707316,0.5062160042037952,95.488,51
31,OCO,Chinese Grand Prix,2025,2,98.29171947674419,0.5278633715472255,95.74,51
12,ANT,Chinese Grand Prix,2025,2,98.25273015873015,0.596975587967172,96.046,51
23,ALB,Chinese Grand Prix,2025,2,98.0635294117647,0.4895360029352096,96.254,51
87,BEA,Chinese Grand Prix,2025,2,98.01376785714288,0.4121653301497652,96.363,51
18,STR,Chinese Grand Prix,2025,2,97.83880555555557,0.4153169255746578,96.044,51
55,SAI,Chinese Grand Prix,2025,2,98.46382625482627,0.4134726018269942,96.779,51
6,HAD,Chinese Grand Prix,2025,3,98.14825925925926,0.5086080862955672,96.335,48
30,LAW,Chinese Grand Prix,2025,3,98.05277962962964,0.3316413988228325,96.267,48
7,DOO,Chinese Grand Prix,2025,2,98.69847965116278,0.45022095817083074,96.424,51
5,BOR,Chinese Grand Prix,2025,2,98.28184090909093,0.566123934058302,96.439,49
27,HUL,Chinese Grand Prix,2025,2,99.16485511363636,0.6435437675844469,97.275,49
22,TSU,Chinese Grand Prix,2025,4,97.66755208333333,0.4001234657661623,95.871,44
16,LEC,Chinese Grand Prix,2025,2,97.66764423076923,0.385124911854159,96.157,51
44,HAM,Chinese Grand Prix,2025,3,97.08445802563449,0.3600465701462674,95.069,49
10,GAS,Chinese Grand Prix,2025,2,98.4530892857143,0.6499452772775101,96.425,51
1,VER,Japanese Grand Prix,2025,2,92.69489166666668,0.42270427584000436,91.041,50
4,NOR,Japanese Grand Prix,2025,2,92.69118333333333,0.41077573535855594,91.116,50
81,PIA,Japanese Grand Prix,2025,2,92.75852037351444,0.4669986325817437,91.039,50
16,LEC,Japanese Grand Prix,2025,2,92.9396359649123,0.38361092495976024,91.469,49
63,RUS,Japanese Grand Prix,2025,2,93.05893841911765,0.5938773133184743,91.357,49
12,ANT,Japanese Grand Prix,2025,2,92.54801120689655,0.39801767065363736,90.965,49
44,HAM,Japanese Grand Prix,2025,2,92.84777976190477,0.46612932622749104,91.406,49
6,HAD,Japanese Grand Prix,2025,2,93.13715551839465,0.6147488637690968,91.317,49
23,ALB,Japanese Grand Prix,2025,2,93.21639309764309,0.6844538562518749,91.125,49
87,BEA,Japanese Grand Prix,2025,2,93.54880357142855,0.5921512371178548,92.006,49
14,ALO,Japanese Grand Prix,2025,2,93.4554417989418,0.2929463399164066,91.77,48
22,TSU,Japanese Grand Prix,2025,2,93.59710714285715,0.4701785595066902,91.871,49
10,GAS,Japanese Grand Prix,2025,2,93.54100336700337,0.475694481545053,91.82,49
55,SAI,Japanese Grand Prix,2025,2,93.4520322580645,0.6055426374733686,91.106,49
7,DOO,Japanese Grand Prix,2025,2,94.30956089743592,0.5384931997155925,92.685,49
27,HUL,Japanese Grand Prix,2025,2,94.05033189655173,0.6564911403976561,92.572,49
30,LAW,Japanese Grand Prix,2025,2,93.67715949820789,0.45121672605745755,92.043,49
31,OCO,Japanese Grand Prix,2025,2,93.65071140350878,0.44982517729147686,91.967,49
5,BOR,Japanese Grand Prix,2025,2,93.619,0.44473802505617793,92.034,48
18,STR,Japanese Grand Prix,2025,3,94.1035701754386,0.34361400483309196,92.052,44
81,PIA,Bahrain Grand Prix,2025,3,97.49400708180707,0.458268117490566,95.375,49
63,RUS,Bahrain Grand Prix,2025,3,97.8502371933622,0.38477270203881075,95.842,48
4,NOR,Bahrain Grand Prix,2025,3,97.90511779448622,0.7371307853213952,95.728,49
16,LEC,Bahrain Grand Prix,2025,3,97.87691964285712,0.5891686351673555,96.142,49
44,HAM,Bahrain Grand Prix,2025,3,98.16928888888889,0.6302362588110528,96.235,48
1,VER,Bahrain Grand Prix,2025,3,98.43315706959707,0.62569745647296,96.167,45
10,GAS,Bahrain Grand Prix,2025,3,98.42931262939959,0.7353230163727155,96.531,46
31,OCO,Bahrain Grand Prix,2025,3,98.56977222222223,0.4555759206185157,97.098,45
22,TSU,Bahrain Grand Prix,2025,3,98.7924246031746,0.6175051333426915,97.225,47
87,BEA,Bahrain Grand Prix,2025,3,98.8461093795094,0.5217551986128538,97.303,47
12,ANT,Bahrain Grand Prix,2025,4,98.28792536630037,0.6603081441809354,96.69,45
23,ALB,Bahrain Grand Prix,2025,3,98.769894993895,0.6015147807510893,97.141,47
6,HAD,Bahrain Grand Prix,2025,3,99.12645537757437,0.4391595569911522,97.158,45
7,DOO,Bahrain Grand Prix,2025,3,98.80452536231884,0.5789426227585243,96.682,45
14,ALO,Bahrain Grand Prix,2025,3,99.09911843711843,0.414005635117677,97.906,47
30,LAW,Bahrain Grand Prix,2025,3,99.07392496392497,0.4429742481205643,97.38,47
18,STR,Bahrain Grand Prix,2025,3,99.38583131030191,0.3854611181945184,98.064,47
5,BOR,Bahrain Grand Prix,2025,3,99.4722365079365,0.4377347082896302,98.006,47
55,SAI,Bahrain Grand Prix,2025,3,99.07889047619047,0.7317065096189058,97.809,32
27,HUL,Bahrain Grand Prix,2025,3,99.20631505847952,0.3201680720099552,97.338,45
81,PIA,Saudi Arabian Grand Prix,2025,2,93.46807701149427,0.5143635423677276,92.228,44
1,VER,Saudi Arabian Grand Prix,2025,2,93.3702777777778,0.46349454885822783,92.28,44
16,LEC,Saudi Arabian Grand Prix,2025,2,93.32919999999999,0.4015125208584469,92.192,44
4,NOR,Saudi Arabian Grand Prix,2025,2,93.08569761904761,0.4993051667190407,91.778,44
63,RUS,Saudi Arabian Grand Prix,2025,2,93.98912053571428,0.6067700319953253,92.893,44
12,ANT,Saudi Arabian Grand Prix,2025,2,94.06729556650247,0.3582011495215864,92.396,43
44,HAM,Saudi Arabian Grand Prix,2025,2,94.17635999999999,0.6175265739709334,92.6,44
55,SAI,Saudi Arabian Grand Prix,2025,2,94.6710871459695,0.5961025957523318,92.466,44
23,ALB,Saudi Arabian Grand Prix,2025,2,94.71877136752136,0.5279609327618288,93.477,44
6,HAD,Saudi Arabian Grand Prix,2025,2,94.40281904761906,0.46474278443449946,93.257,44
14,ALO,Saudi Arabian Grand Prix,2025,2,94.92822281167109,0.6056379534402593,93.009,42
30,LAW,Saudi Arabian Grand Prix,2025,2,94.85138839285715,0.7708670192596567,92.998,44
87,BEA,Saudi Arabian Grand Prix,2025,2,95.0446205128205,0.5942176578364764,93.238,43
31,OCO,Saudi Arabian Grand Prix,2025,1,95.46725,0.6226134761613136,94.309,44
27,HUL,Saudi Arabian Grand Prix,2025,2,94.93780901856763,0.46155992454360917,93.446,42
18,STR,Saudi Arabian Grand Prix,2025,2,94.69405147058824,0.6410537910971612,92.745,42
7,DOO,Saudi Arabian Grand Prix,2025,2,95.36590357142856,0.8586456330606527,93.15,43
5,BOR,Saudi Arabian Grand Prix,2025,1,95.80166666666666,0.8032759045694002,94.447,42
81,PIA,Miami Grand Prix,2025,2,90.67316363636363,0.4852726251084705,89.992,27
4,NOR,Miami Grand Prix,2025,2,90.64581304347826,0.49078045179266017,89.746,28
63,RUS,Miami Grand Prix,2025,2,91.23207826086957,0.511250601785587,90.318,28
1,VER,Miami Grand Prix,2025,2,91.18392753623189,0.3578368077054123,90.466,26
23,ALB,Miami Grand Prix,2025,2,91.1129420289855,0.24675540598588597,90.482,26
12,ANT,Miami Grand Prix,2025,2,91.66315942028984,0.3825622697805906,90.807,26
16,LEC,Miami Grand Prix,2025,2,91.75284347826087,0.5604557695453849,90.461,28
44,HAM,Miami Grand Prix,2025,2,91.45673550724638,0.6683619664657952,90.562,29
55,SAI,Miami Grand Prix,2025,2,91.52245652173912,0.45812553790194893,90.703,26
22,TSU,Miami Grand Prix,2025,2,91.74973369565217,0.43412635341182815,90.964,27
6,HAD,Miami Grand Prix,2025,1,91.57926666666667,0.8722276250412253,90.971,30
31,OCO,Miami Grand Prix,2025,1,91.65492857142856,0.21228403903146717,91.122,28
10,GAS,Miami Grand Prix,2025,2,92.40354782608696,0.5550644752292353,91.159,28
27,HUL,Miami Grand Prix,2025,2,92.14874999999999,0.4353925628320362,91.015,26
14,ALO,Miami Grand Prix,2025,2,92.69287727272727,0.37882014596863045,91.287,27
18,STR,Miami Grand Prix,2025,1,92.52060714285717,0.6437991600379798,91.769,28
30,LAW,Miami Grand Prix,2025,1,93.34179999999999,1.1887860194332691,91.77,5
5,BOR,Miami Grand Prix,2025,1,92.80133333333333,0.3714314651901949,92.42,3
87,BEA,Miami Grand Prix,2025,1,93.59933333333333,0.5430150396934992,93.054,3
1,VER,Emilia Romagna Grand Prix,2025,3,79.80147293447294,0.22441022794023183,77.988,49
4,NOR,Emilia Romagna Grand Prix,2025,3,79.99856649572651,0.3781615288658408,78.311,47
81,PIA,Emilia Romagna Grand Prix,2025,3,80.80359721293199,0.3926905810659793,78.894,46
44,HAM,Emilia Romagna Grand Prix,2025,3,80.63929161579163,0.6057226411885875,78.265,49
23,ALB,Emilia Romagna Grand Prix,2025,3,80.82442518518519,0.5160104166908899,78.289,47
16,LEC,Emilia Romagna Grand Prix,2025,3,81.11351488095238,0.5156565743332048,79.048,47
63,RUS,Emilia Romagna Grand Prix,2025,3,81.40123611111112,0.5195684239508541,79.733,47
55,SAI,Emilia Romagna Grand Prix,2025,3,81.4946943236715,0.5213648217829152,79.836,46
6,HAD,Emilia Romagna Grand Prix,2025,3,81.11979282051283,0.41930683385020623,79.473,47
22,TSU,Emilia Romagna Grand Prix,2025,2,81.79697826086957,0.4906635467152203,80.039,46
