,Events,Corner,Distance,SpeedAtApex,Category
0,Pre-Season Testing,1,445.93173169727925,293.346219408912,HIGH
1,Pre-Season Testing,2,611.1732283509548,289.40436685481546,HIGH
2,Pre-Season Testing,3,867.3889234906558,127.52702020543906,MEDIUM
3,Pre-Season Testing,4,1032.126224268948,88.38470118123493,LOW
4,Pre-Season Testing,5,1221.7363158345834,224.77722106706665,HIGH
5,Pre-Season Testing,6,1951.6063734796544,173.51108614868892,MEDIUM
6,Pre-Season Testing,7,2169.481398846726,112.53838693850756,MEDIUM
7,Pre-Season Testing,8,2506.929589261954,265.1705072585657,HIGH
8,Pre-Season Testing,9,3043.9776672734756,281.2178469265011,HIGH
9,Pre-Season Testing,10,3582.6498002792696,292.6261964429844,HIGH
10,Pre-Season Testing,11,3668.297464963581,287.59238079553813,HIGH
11,Pre-Season Testing,12,3828.8742478351423,257.94311633571635,HIGH
12,Pre-Season Testing,13,3971.608025551337,217.40370945850927,HIGH
13,Pre-Season Testing,14,4103.902000961937,250.0528288002315,HIGH
14,Pre-Season Testing,15,4974.668673565152,228.77236749777038,HIGH
15,Pre-Season Testing,16,5412.100862085935,142.1575054744029,MEDIUM
16,Pre-Season Testing,17,5505.410218357467,119.57299218122301,MEDIUM
17,Pre-Season Testing,18,5656.694622040611,211.23927691856866,HIGH
18,Bahrain Grand Prix,1,716.588872748737,70.38732921043028,LOW
19,Bahrain Grand Prix,2,818.8257124847662,153.4850951779595,MEDIUM
20,Bahrain Grand Prix,3,941.358204860535,221.44952564450261,HIGH
21,Bahrain Grand Prix,4,1511.6221728039202,126.7361363245302,MEDIUM
22,Bahrain Grand Prix,5,1792.5466916781031,244.98763327645682,HIGH
23,Bahrain Grand Prix,6,1885.2969357158936,197.21658323585618,MEDIUM
24,Bahrain Grand Prix,7,1979.799985552086,215.42633611078992,HIGH
25,Bahrain Grand Prix,8,2237.3169826161657,79.94202187140027,LOW
26,Bahrain Grand Prix,9,2603.030450093135,222.24263809510762,HIGH
27,Bahrain Grand Prix,10,2696.3662057845327,83.21127142412027,LOW
28,Bahrain Grand Prix,11,3471.524585735201,159.60933651578912,MEDIUM
29,Bahrain Grand Prix,12,3880.4263582441863,265.0,HIGH
30,Bahrain Grand Prix,13,4089.40217398796,141.0559664826153,MEDIUM
31,Bahrain Grand Prix,14,4894.608743154007,120.0259551303372,MEDIUM
32,Bahrain Grand Prix,15,4974.748082844805,166.76744332620808,MEDIUM
33,Saudi Arabian Grand Prix,1,491.7473710335728,117.99848010668411,MEDIUM
34,Saudi Arabian Grand Prix,2,542.2572374040752,93.54650170331514,LOW
35,Saudi Arabian Grand Prix,3,693.7091618362267,198.1521681375174,MEDIUM
36,Saudi Arabian Grand Prix,4,995.3713704514864,158.66669411913801,MEDIUM
37,Saudi Arabian Grand Prix,5,1101.7569784068721,205.17892708639943,HIGH
38,Saudi Arabian Grand Prix,6,1268.445338415838,250.21645448700224,HIGH
39,Saudi Arabian Grand Prix,7,1382.5183018796265,251.2790045293339,HIGH
40,Saudi Arabian Grand Prix,8,1453.775514278073,249.50666707020667,HIGH
41,Saudi Arabian Grand Prix,9,1597.9545703131869,221.91543362364814,HIGH
42,Saudi Arabian Grand Prix,10,1703.6771455505625,229.39276836746,HIGH
43,Saudi Arabian Grand Prix,11,1771.1893750592612,245.77009363859688,HIGH
44,Saudi Arabian Grand Prix,12,1898.4135463868881,271.31793261002923,HIGH
45,Saudi Arabian Grand Prix,13,2420.4015682346953,154.0496085371388,MEDIUM
46,Saudi Arabian Grand Prix,14,2741.2469170015697,266.8470709705006,HIGH
47,Saudi Arabian Grand Prix,15,2949.627612453411,289.75985180745306,HIGH
48,Saudi Arabian Grand Prix,16,3070.582118854549,173.36347749441694,MEDIUM
49,Saudi Arabian Grand Prix,17,3178.743767943121,209.78025525887182,HIGH
50,Saudi Arabian Grand Prix,18,3399.5498058945877,274.36452511397306,HIGH
51,Saudi Arabian Grand Prix,19,3603.664915918603,298.84282830164415,HIGH
52,Saudi Arabian Grand Prix,20,3797.484822097317,310.0,HIGH
53,Saudi Arabian Grand Prix,21,4004.122125139417,312.0,HIGH
54,Saudi Arabian Grand Prix,22,4243.948064903356,195.8221057321621,MEDIUM
55,Saudi Arabian Grand Prix,23,4337.624828630015,193.74586079543926,MEDIUM
56,Saudi Arabian Grand Prix,24,4488.397728855731,253.8868023563307,HIGH
57,Saudi Arabian Grand Prix,25,4781.769528703698,298.57336048611097,HIGH
58,Saudi Arabian Grand Prix,26,5127.172264030356,313.22150826541895,HIGH
59,Saudi Arabian Grand Prix,27,5519.609742379038,110.64245124706561,MEDIUM
60,Australian Grand Prix,1,358.19027487793835,170.82200092112546,MEDIUM
61,Australian Grand Prix,2,443.046347002292,205.7344809300831,HIGH
62,Australian Grand Prix,3,1084.47021307164,103.09503425619056,MEDIUM
63,Australian Grand Prix,4,1236.017814313078,154.0,MEDIUM
64,Australian Grand Prix,5,1436.67865319501,234.70138246829225,HIGH
65,Australian Grand Prix,6,1855.1186893749841,221.82512469619024,HIGH
66,Australian Grand Prix,7,1954.0620482915203,240.55518050149922,HIGH
67,Australian Grand Prix,8,2156.7624072598196,275.2032205958742,HIGH
68,Australian Grand Prix,9,3262.114779130341,254.47454345328035,HIGH
69,Australian Grand Prix,10,3371.464532880163,236.5524545375067,HIGH
70,Australian Grand Prix,11,4082.2145907146923,123.36630052119418,MEDIUM
71,Australian Grand Prix,12,4345.50675261591,216.3804040026277,HIGH
72,Australian Grand Prix,13,4584.7667887185435,115.64565034523073,MEDIUM
73,Australian Grand Prix,14,4745.967779712602,168.30510406548717,MEDIUM
74,Azerbaijan Grand Prix,1,298.061670505696,118.9478422213486,MEDIUM
75,Azerbaijan Grand Prix,2,635.4395564546569,100.18757690247868,MEDIUM
76,Azerbaijan Grand Prix,3,1501.8950680345008,102.50863738904991,MEDIUM
77,Azerbaijan Grand Prix,4,1722.1618542625572,97.59910229880639,LOW
78,Azerbaijan Grand Prix,5,2066.4124255412944,111.30995820744911,MEDIUM
79,Azerbaijan Grand Prix,6,2124.307610877602,92.0,LOW
80,Azerbaijan Grand Prix,7,2506.1286406313857,80.67973002009603,LOW
81,Azerbaijan Grand Prix,8,2704.1145215535244,119.71430380230382,MEDIUM
82,Azerbaijan Grand Prix,9,2726.9438137117813,118.41897418926756,MEDIUM
83,Azerbaijan Grand Prix,10,2760.2039191805634,138.4410484443401,MEDIUM
84,Azerbaijan Grand Prix,11,2805.871250087077,95.22017950043345,LOW
85,Azerbaijan Grand Prix,12,2862.172631220899,113.42574177326807,MEDIUM
86,Azerbaijan Grand Prix,13,3262.561958658122,276.0,HIGH
87,Azerbaijan Grand Prix,14,3489.590363178467,297.3202232792363,HIGH
88,Azerbaijan Grand Prix,15,3705.3432391321408,91.43018598948458,LOW
89,Azerbaijan Grand Prix,16,4062.0299975231287,123.68442714310791,MEDIUM
90,Azerbaijan Grand Prix,17,4260.2570660353695,243.45124573286785,HIGH
91,Azerbaijan Grand Prix,18,4480.4959728086715,285.40254955430487,HIGH
