season,round,grand_prix,driver_number,driver,team,stint,compound,stint_len_laps,mean_lap_s,median_lap_s,p90_lap_s,start_lap,end_lap,degradation_s_per_lap
2024,1,Bahrain Grand Prix,1,VER,Red Bull Racing,1.0,SOFT,16,96.9914375,97.03399999999999,97.201,1.0,16.0,0.019216176470588372
2024,1,Bahrain Grand Prix,1,VER,Red Bull Racing,2.0,HARD,18,95.57994444444445,95.529,96.0525,19.0,36.0,0.06081011351908963
2024,1,Bahrain Grand Prix,1,VER,Red Bull Racing,3.0,SOFT,19,94.6847894736842,94.667,95.3872,39.0,57.0,0.033531578947364575
2024,1,Bahrain Grand Prix,10,GAS,Alpine,1.0,SOFT,7,98.8047142857143,98.744,99.0666,2.0,11.0,-0.0008888888888798588
2024,1,Bahrain Grand Prix,10,GAS,Alpine,2.0,HARD,17,98.08082352941176,98.094,98.576,14.0,30.0,0.0721004901960812
2024,1,Bahrain Grand Prix,10,GAS,Alpine,3.0,HARD,10,96.5409,96.59649999999999,96.748,33.0,42.0,0.041775757575758875
2024,1,Bahrain Grand Prix,10,GAS,Alpine,4.0,SOFT,12,95.47250000000001,95.4,95.9025,45.0,56.0,0.08113986013985836
2024,1,Bahrain Grand Prix,11,PER,Red Bull Racing,1.0,SOFT,10,97.61479999999999,97.7715,97.8586,2.0,11.0,0.07718787878788241
2024,1,Bahrain Grand Prix,11,PER,Red Bull Racing,2.0,HARD,22,96.28090909090908,96.2945,96.553,14.0,35.0,0.018931677018633884
2024,1,Bahrain Grand Prix,11,PER,Red Bull Racing,3.0,SOFT,20,94.9872,94.86449999999999,95.6245,38.0,57.0,0.06663609022556384
2024,1,Bahrain Grand Prix,14,ALO,Aston Martin,1.0,SOFT,11,98.38163636363637,98.543,98.896,2.0,14.0,0.0378153928955884
2024,1,Bahrain Grand Prix,14,ALO,Aston Martin,2.0,HARD,24,97.29891666666667,97.229,97.8536,17.0,40.0,0.021712173913043344
2024,1,Bahrain Grand Prix,14,ALO,Aston Martin,3.0,HARD,15,94.9924,95.014,95.2652,43.0,57.0,0.023464285714286506
2024,1,Bahrain Grand Prix,16,LEC,Ferrari,1.0,SOFT,10,97.96809999999999,97.973,98.3396,1.0,10.0,0.04258787878788341
2024,1,Bahrain Grand Prix,16,LEC,Ferrari,2.0,HARD,21,96.89785714285715,96.831,97.158,13.0,33.0,0.006476623376626164
2024,1,Bahrain Grand Prix,16,LEC,Ferrari,3.0,HARD,22,95.22213636363637,95.20599999999999,95.7545,36.0,57.0,0.0592936194240568
2024,1,Bahrain Grand Prix,18,STR,Aston Martin,1.0,SOFT,7,98.55799999999999,98.725,98.88419999999999,2.0,8.0,0.14824999999999927
2024,1,Bahrain Grand Prix,18,STR,Aston Martin,2.0,HARD,16,97.7523125,97.8425,98.1565,11.0,26.0,0.07094264705882192
2024,1,Bahrain Grand Prix,18,STR,Aston Martin,3.0,HARD,29,96.43186206896551,96.353,96.8836,29.0,57.0,0.036318719211821573
2024,1,Bahrain Grand Prix,2,SAR,Williams,1.0,SOFT,5,98.5834,98.582,98.737,2.0,6.0,0.025199999999988964
